8760
309	3.36	1.211	0	4.286
310	3.31	1.21	0	4.073
311	3.56	1.207	0	4.258
312	3.70	1.204	0	4.55
313	3.85	1.201	0	4.736
314	3.74	1.199	0	4.534
315	3.64	1.198	0	4.332
316	3.40	1.198	0	4.382
317	3.29	1.197	0	4.49
318	3.40	1.196	0	4.612
319	3.64	1.194	0	5.366
320	4.79	1.194	161	5.874
321	7.84	1.196	419	5.996
322	10.33	1.197	612	6.333
323	11.61	1.197	723	6.621
324	12.18	1.196	755	7.121
325	12.17	1.196	708	7.03
326	11.53	1.197	584	6.424
327	9.44	1.2	370	5.672
328	5.58	1.203	108	5.409
329	3.46	1.207	0	5.348
330	2.96	1.209	0	5.29
331	2.61	1.211	0	5.272
332	2.37	1.212	0	5.201
333	2.20	1.212	0	5.132
334	2.10	1.214	0	5.204
335	2.01	1.215	0	5.282
336	1.74	1.217	0	5.124
337	1.35	1.22	0	4.759
338	1.18	1.222	0	4.336
339	1.76	1.224	0	3.731
340	3.12	1.225	0	3.047
341	3.46	1.225	0	2.879
342	3.26	1.227	0	2.965
343	3.35	1.228	0	2.948
344	3.66	1.229	212	3.103
345	5.50	1.229	456	3.202
346	7.99	1.229	636	3.498
347	9.15	1.226	741	3.362
348	10.39	1.221	765	3.14
349	10.81	1.219	709	2.674
350	10.64	1.218	569	2.538
351	9.01	1.218	327	2.512
352	6.70	1.219	78	2.735
353	5.65	1.22	0	2.785
354	5.36	1.222	0	2.753
355	5.09	1.223	0	2.706
356	4.69	1.225	0	2.732
357	4.40	1.227	0	2.725
358	4.00	1.228	0	2.712
359	3.74	1.23	0	2.712
360	3.72	1.231	0	2.683
361	3.69	1.231	0	2.617
362	3.68	1.232	0	2.53
363	3.51	1.232	0	2.431
364	3.61	1.233	0	2.345
365	3.59	1.233	0	2.309
366	3.41	1.233	0	2.327
367	3.24	1.234	0	2.259
368	3.92	1.234	136	2.231
369	5.65	1.234	310	2.158
370	7.76	1.231	458	2.092
371	9.13	1.226	613	2.577
372	10.09	1.221	633	3.16
373	10.56	1.218	573	3.433
374	10.51	1.216	457	3.437
375	9.23	1.216	256	2.866
376	7.29	1.217	57	2.656
377	6.55	1.218	0	2.493
378	6.34	1.22	0	2.456
379	5.80	1.221	0	2.576
380	5.10	1.223	0	2.725
381	4.78	1.225	0	2.717
382	4.62	1.226	0	2.62
383	4.46	1.228	0	2.515
384	4.35	1.23	0	2.55
385	4.02	1.232	0	2.601
386	3.68	1.234	0	2.549
387	3.36	1.235	0	2.42
388	3.17	1.235	0	2.29
389	3.14	1.234	0	2.219
390	3.15	1.234	0	2.288
391	3.44	1.232	0	2.288
392	4.24	1.231	48	2.275
393	5.88	1.23	129	2.391
394	7.08	1.227	217	2.434
395	8.00	1.224	275	2.31
396	8.44	1.221	235	2.19
397	8.62	1.219	234	2.112
398	8.51	1.218	187	2.233
399	7.83	1.218	85	2.231
400	6.73	1.218	19	2.175
401	6.39	1.219	0	2.106
402	6.28	1.219	0	1.972
403	6.13	1.22	0	2.094
404	5.68	1.22	0	2.336
405	5.04	1.221	0	2.577
406	4.40	1.222	0	2.812
407	3.45	1.224	0	3.123
408	2.34	1.225	0	3.427
409	1.63	1.227	0	3.611
410	1.08	1.228	0	3.732
411	0.68	1.228	0	3.747
412	0.27	1.228	0	3.758
413	-0.19	1.227	0	3.932
414	-0.37	1.227	0	4.286
415	-0.50	1.227	0	4.899
416	0.91	1.229	236	5.421
417	3.97	1.233	477	5.752
418	5.54	1.233	645	5.542
